SAMPLE,Area,Side,X,Y,enclosedspaces
JIN2,Inside,Storage,13,-11.5,1.027747941
JIN5,Inside,Storage,12.5,-12,1.121272569
JIN9,Inside,Storage,13.5,-12,1.340391796
JIN10,Inside,Storage,13.5,-13,1.565597668
JIN12,Inside,Fireplace,13.5,-11,1.256257992
JIN13,Inside,Storage,14,-11.5,1.430873101
JIN14,Inside,Fireplace,13.5,-10,1.194107718
JIN17,Inside,Fireplace,14,-10.5,1.179479311
JIN18,Inside,Storage,14,-13.5,0.889483914
JIN21,Inside,Storage,14,-12.5,1.603759398
JIN22,Inside,Fireplace,14,-9.5,0.409268068
JIN24,Inside,Fireplace,14.5,-10,1.157163316
JIN27,Inside,Storage,14.5,-12,1.121272569
JIN28,Inside,Fireplace,7.5,-10,0.232407549
JIN30,Veranda,Fireplace,7.5,-11,0.938504424
JIN31,Veranda,Fireplace,7.5,-12,0.788450719
JIN33,Veranda,Storage,8.5,-9,0.913426423
JIN35,Veranda,Storage,8.5,-8,1.050421973
JIN36,Veranda,Storage,8.5,-10,0.864948084
JIN39,Veranda,Fireplace,8.5,-11,1.04606414
JIN41,Veranda,Fireplace,8,-10.5,0.840463403
JIN42,Veranda,Fireplace,8,-11.5,1.591867424
JIN47,Veranda,Storage,8,-8.5,1.272635671
JIN48,Veranda,Storage,8,-9.5,0.723512864
JIN49,Veranda,Storage,9,-8.5,0.821088435
JIN52,Veranda,Fireplace,9,-10.5,0.911723186
JIN55,Veranda,Storage,9.5,-9,0.795933712
JIN57,Veranda,Fireplace,10,-10.5,0.789560636
JIN58,Veranda,Storage,10,-8.5,0.52154877
JIN60,Veranda,Storage,10.5,-9,0.746938776
JIN62,Inside,Storage,14.5,-13,1.025502532
JIN63,Inside,Storage,14.5,-13.5,1.366344433
JIN64,Inside,Fireplace,14.5,-11,1.282057184
JIN66,Inside,Storage,15,-11.5,1.217093755
JIN69,Inside,Storage,15,-12.5,1.388353537
JIN71,Inside,Fireplace,15.5,-10.5,1.376123983
JIN72,Inside,Storage,15.5,-13,1.085821697
JIN73,Inside,Storage,15.5,-12,1.209482891
JIN75,Inside,Fireplace,15.5,-11,1.282548207
JIN78,Inside,Storage,16,-11.5,1.20816838
JIN80,Inside,Fireplace,11,-9.5,1.054657051
JIN84,Inside,Fireplace,11.5,-10,0.906460028
JIN85,Inside,Fireplace,11.5,-9,0.510147819
JIN86,Inside,Storage,12,-11.5,1.168098818
JIN87,Inside,Fireplace,12,-9.5,0.861337016
JIN90,Inside,Storage,12,-12.5,0.770339113
JIN93,Inside,Fireplace,12,-10.5,0.835123523
JIN96,Inside,Fireplace,12.5,-9,1.507938213
JIN98,Inside,Storage,12.5,-13,1.267352054
JIN100,Inside,Fireplace,12.5,-11,0.798409289
JIN101,Inside,Fireplace,12.5,-10,0.760457266
JIN102,Inside,Fireplace,13,-10.5,1.18025165
JIN103,Inside,Fireplace,13,-9.5,0.981949772
JIN106,Veranda,Fireplace,8.5,-12,1.412280702
JIN109,Veranda,Fireplace,9,-12,0.762160503
JIN110,Veranda,Fireplace,9,-12.5,0.661746202
JIN111,Veranda,Fireplace,9,-11.5,0.82823385
JIN112,Veranda,Fireplace,9.5,-11,0.964973659
JIN114,Veranda,Fireplace,9.5,-12,1.325333743
JIN115,Veranda,Fireplace,9.5,-11.5,0.585299985
JIN117,Inside,Storage,10,-12.5,1.011237277
JIN118,Inside,Storage,10.5,-12,0.575858012
JIN119,Inside,Fireplace,10.5,-10,1.316531124
JIN121,Inside,Storage,10.5,-11,0.915722981
JIN123,Inside,Storage,11,-12.5,0.934530203
JIN126,Inside,Fireplace,11,-10.5,0.810071096
JIN127,Inside,Storage,11,-11.5,0.755761854
JIN129,Inside,Storage,11.5,-13,0.982906245
JIN130,Inside,Fireplace,11.5,-11,0.801892486
JIN134,Inside,Storage,11.5,-12,0.769203621
